dataset,AE,AE-1SVM,ALAD,AnoGAN,DAGMM,DeepSVDD,DIF,DROCC,DTE-Cat,DTE-DDPM,DTE-Gaussian,DTE-IG,DTE-NP,GANomaly,GOAD,ICL,LUNAR,MCM,MO_GAAL,PlanarFlow,SLAD,SO_GAAL,VAE,CBLOF,CD,ECOD,FB,GMM,HBOS,IForest,KDE,LMDD,LODA,MCD,OCSVM,QMCD,Sampling,ABOD,COF,INNE,KNN,KPCA,LOF,PCA,KCM-iso-LOO,KCM-mahal-LOO,KCM-iso-adapt,KCM-isonorm-LOO,TCCM,KCM-oracle
fault,0.729,0.666,0.529,0.533,,0.576,0.717,0.641,0.697,0.629,0.724,0.702,0.792,0.61,0.64,0.767,0.796,0.707,0.537,0.54,0.793,0.535,0.629,0.717,0.609,0.488,0.616,0.68,0.579,0.646,0.806,0.51,0.525,0.612,0.64,0.611,0.674,0.634,0.53,0.583,0.651,0.539,0.536,0.49,0.7981267779101782,0.7241520316060208,0.7008194748173464,0.6889682509357831,0.7623635724476352,0.808649778330372
fraud,0.627,0.345,0.006,0.29,0.053,0.25,0.538,0.003,0.742,0.723,0.743,0.636,0.373,0.521,,0.638,0.573,0.693,0.008,,0.349,0.004,0.273,0.257,0.242,0.331,0.016,0.587,0.349,0.208,0.389,0.321,0.311,0.601,0.352,0.416,0.268,0.02,,0.219,0.08,,0.004,0.228,0.29353908730144457,0.7074622825776208,0.3704557318936954,0.31281937329271525,0.6875981152870432,0.7585058601038164
glass,0.217,0.242,0.096,0.2,,0.185,0.327,0.263,0.258,0.242,0.208,0.243,0.302,0.223,0.2,0.447,0.345,0.266,0.198,0.241,0.267,0.212,0.189,0.268,0.241,0.255,0.204,0.236,0.27,0.208,0.299,0.169,0.118,0.197,0.226,0.327,0.26,0.244,0.183,0.196,0.254,0.107,0.167,0.169,0.3287096954019,0.24665961068004885,0.22163700803462918,0.31115765956994346,0.3215527368896948,0.3812655181076233
http,0.875,0.418,0.039,0.9,0.456,0.817,0.515,0.008,0.579,0.4,0.102,0.995,0.995,0.021,,0.961,0.821,0.78,0.009,,,0.015,0.911,0.902,0.551,0.252,0.069,0.911,0.562,0.493,0.997,0.908,0.01,0.918,0.998,0.708,0.893,0.014,,0.747,0.014,,0.012,0.602,0.9442717314309832,0.9258480444509788,0.9572887218540549,0.9452353365584172,0.9075212364231522,0.9990985938740228
landsat,0.411,0.413,0.327,0.319,0.365,0.305,0.437,0.411,0.394,0.339,0.342,0.37,0.614,0.402,0.377,0.687,0.657,0.394,0.344,0.319,0.495,0.302,0.382,0.467,0.314,0.281,0.693,0.337,0.526,0.445,0.556,0.379,0.326,0.401,0.325,0.476,0.405,0.316,0.366,0.324,0.359,0.309,0.36,0.266,0.6493199617995897,0.416577232423294,0.525559305768501,0.641206001462642,0.5345979153100358,0.6622727522502543
letter,0.358,0.203,0.135,0.124,,0.138,0.234,0.247,0.557,0.229,0.553,0.572,0.525,0.31,0.323,0.639,0.627,0.54,0.124,0.315,0.601,0.123,0.19,0.296,0.299,0.142,0.503,0.433,0.15,0.159,0.588,0.13,0.138,0.313,0.207,0.167,0.237,0.398,0.536,0.276,0.419,0.141,0.441,0.136,0.5932965464241585,0.7906192263751343,0.24194592192263667,0.6968840991374105,0.5520563920814215,0.8139488992127342
magic.gamma,0.856,0.745,0.567,0.73,0.669,0.729,0.81,0.829,0.895,0.737,0.887,0.876,0.863,0.647,0.691,0.819,0.876,0.872,0.522,0.798,0.779,0.539,0.764,0.798,0.755,0.68,0.868,0.834,0.773,0.802,0.809,0.668,0.758,0.772,0.791,0.749,0.8,0.788,0.635,0.753,0.808,0.56,0.657,0.703,0.8651190895188566,0.883215629017642,0.8249644429205457,0.8424621717719486,0.8772563968559588,0.8934193299564529
mammography,0.418,0.35,0.054,0.477,0.426,0.345,0.361,0.251,0.37,0.134,0.36,0.347,0.419,0.339,0.279,0.182,0.459,0.346,0.26,0.169,0.203,0.182,0.375,0.348,0.193,0.549,0.257,0.404,0.209,0.373,0.425,0.458,0.445,0.08,0.403,0.14,0.378,0.043,0.11,0.254,0.23,0.038,0.143,0.271,0.4191669910105308,0.313315899844564,0.4221042095088429,0.3149598238320157,0.3595040839789801,0.4521859173686887
mnist,0.737,0.716,0.212,0.622,0.494,0.55,0.624,0.636,0.644,0.557,0.666,0.549,0.769,0.495,0.264,0.715,0.775,0.717,0.433,0.529,0.728,0.414,0.726,0.684,0.281,0.303,0.716,0.725,0.215,0.539,0.774,0.46,0.419,0.583,0.683,0.358,0.679,0.445,0.317,0.543,0.555,0.269,0.347,0.169,0.7857431020459739,0.7195214146062476,0.6961201940401346,0.6705179859730948,0.7378363344287704,0.8115839036317858
musk,1.0,1.0,0.092,0.745,0.641,0.881,0.989,0.135,1.0,0.997,1.0,1.0,1.0,1.0,0.714,1.0,1.0,1.0,0.6,0.546,1.0,0.598,1.0,1.0,0.132,0.604,1.0,1.0,1.0,0.355,1.0,0.992,0.997,0.987,1.0,0.032,1.0,0.042,0.141,0.931,0.191,0.279,0.326,0.98,1.0,1.0,1.0,1.0,1.0,1.0
